Title,Year,Age Restrictions,Run Time,Genres,Plot,Ratings,Director,Writers,Actors,Runtime (minutes)
The Impossible,2012,PG-13,1h 54m,Drama History Thriller,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,7.5,J.A. Bayona,Sergio G. SánchezMaría Belón,Naomi WattsEwan McGregorTom Holland,114.0
The Nun II,2023,R,1h 50m,Horror Mystery Thriller,"1956 - France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit follows Sister Irene as she once again comes face-to-face with Valak, the demon nun.",5.6,Michael Chaves,Ian GoldbergRichard NaingAkela Cooper,Ian GoldbergRichard NaingAkela Cooper,110.0
The Boy and the Heron,2023,PG-13,2h 4m,Animation Adventure Drama,"A young boy named Mahito yearning for his mother ventures into a world shared by the living and the dead. There, death comes to an end, and life finds a new beginning. A semi-autobiographical fantasy from the mind of Hayao Miyazaki.",7.5,Hayao Miyazaki,Hayao Miyazaki,Soma SantokiMasaki SudaTakuya Kimura,124.0
Gran Turismo,2023,PG-13,2h 14m,Action Adventure Drama,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world.",7.2,Neill Blomkamp,Jason HallZach BaylinAlex Tse,Jason HallZach BaylinAlex Tse,134.0
Past Lives,2023,PG-13,1h 45m,Drama Romance,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",8.0,Celine Song,Celine Song,Greta LeeTeo YooJohn Magaro,105.0
Love Actually,2003,R,2h 15m,Comedy Drama Romance,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",7.6,Richard Curtis,Richard Curtis,Hugh GrantMartine McCutcheonLiam Neeson,135.0
The Batman,2022,PG-13,2h 56m,Action Crime Drama,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",7.8,Matt Reeves,Matt ReevesPeter CraigBob Kane,Matt ReevesPeter CraigBob Kane,176.0
Deadpool 3,2024,,,Action Comedy Sci-Fi,"Wolverine joins the ""merc with a mouth"" in the third installment of the Deadpool film franchise.",,Shawn Levy,Shawn LevyRob LiefeldWendy Molyneux,Shawn LevyRob LiefeldWendy Molyneux,
Asteroid City,2023,PG-13,1h 45m,Comedy Drama Romance,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever.",6.6,Wes Anderson,Wes AndersonRoman Coppola,Wes AndersonRoman Coppola,105.0
The Marsh King's Daughter,2023,R,1h 49m,Crime Drama Mystery,A woman seeks revenge against the man who kidnapped her mother.,6.1,Neil Burger,Elle SmithMark L. SmithKaren Dionne,Daisy RidleyBen MendelsohnBrooklynn Prince,109.0
Elf,2003,PG,1h 37m,Adventure Comedy Family,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",7.1,Jon Favreau,David Berenbaum,Will FerrellJames CaanBob Newhart,97.0
Totally Killer,2023,R,1h 46m,Comedy Horror,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.",6.6,Nahnatchka Khan,David MatalonSasha Perl-RaverJen D'Angelo,David MatalonSasha Perl-RaverJen D'Angelo,106.0
Wingwomen,2023,TV-MA,1h 56m,Action Comedy Crime,"Tired of the risks involved in a life of crime, two expert thieves and best friends recruit feisty Sam to assist them with one last job before they move to a new, and less stressful, line of work.",5.6,Mélanie Laurent,Mélanie LaurentChristophe DeslandesCédric Anger,Mélanie LaurentChristophe DeslandesCédric Anger,116.0
The Wolf of Wall Street,2013,R,3h,Biography Comedy Crime,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,Martin Scorsese,Terence WinterJordan Belfort,Leonardo DiCaprioJonah HillMargot Robbie,
Dune,2021,PG-13,2h 35m,Action Adventure Drama,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,8.0,Denis Villeneuve,Jon SpaihtsDenis VilleneuveEric Roth,Jon SpaihtsDenis VilleneuveEric Roth,155.0
Expend4bles,2023,R,1h 43m,Action Adventure Thriller,"Armed with every weapon they can get their hands on, the Expendables are the world's last line of defense and the team that gets called when all other options are off the table.",4.8,Scott Waugh,Kurt WimmerTad DaggerhartMax Adams,Kurt WimmerTad DaggerhartMax Adams,103.0
Ferrari,2023,R,2h 10m,Biography Drama History,"Set in the summer of 1957, with Enzo Ferrari's auto empire in crisis, the ex-racer turned entrepreneur pushes himself and his drivers to the edge as they launch into the Mille Miglia, a treacherous 1,000-mile race across Italy.",6.7,Michael Mann,Troy Kennedy MartinBrock Yates,Troy Kennedy MartinBrock Yates,130.0
Manodrome,2023,R,1h 35m,Drama Thriller,"Conflicted about his girlfriend's pregnancy, Ralphie's life spirals out of control when he meets a mysterious family of men.",4.8,John Trengove,John Trengove,Jesse EisenbergAdrien BrodyOdessa Young,95.0
Dungeons & Dragons: Honor Among Thieves,2023,PG-13,2h 14m,Action Adventure Comedy,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",7.3,John Francis DaleyJonathan Goldstein,Jonathan GoldsteinJohn Francis DaleyMichael Gilio,Jonathan GoldsteinJohn Francis DaleyMichael Gilio,134.0
The Breakfast Club,1985,R,1h 37m,Comedy Drama,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.,7.8,John Hughes,John Hughes,Emilio EstevezJudd NelsonMolly Ringwald,97.0
The Exorcist: Believer,2023,R,1h 51m,Horror,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.",4.9,David Gordon Green,Peter SattlerDavid Gordon GreenScott Teems,Peter SattlerDavid Gordon GreenScott Teems,111.0
Gone Girl,2014,R,2h 29m,Drama Mystery Thriller,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",8.1,David Fincher,Gillian Flynn,Gillian Flynn,149.0
The 355,2022,PG-13,2h 2m,Action Thriller,"When a top-secret weapon falls into mercenary hands, a wild-card C.I.A. agent joins forces with three international agents on a mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",5.6,Simon Kinberg,Theresa RebeckSimon Kinberg,Theresa RebeckSimon Kinberg,122.0
